CATEGORY	METHOD	PATH	HANDLER
reporting	GET	/api/v1/board-packs/runs/{run_id}/artifacts	list_artifacts
reporting	GET	/api/v1/board-packs/runs/{run_id}/download/{format}	download_artifact
reporting	GET	/api/v1/board-packs/runs/{run_id}/sections	list_sections
misc	GET	/api/v1/budget/versions	list_versions
misc	POST	/api/v1/budget/versions	create_version
misc	GET	/api/v1/budget/versions/{version_id}	get_version
misc	POST	/api/v1/budget/versions/{version_id}/approve	approve
misc	POST	/api/v1/budget/versions/{version_id}/lines	add_line
misc	GET	/api/v1/budget/vs-actual	vs_actual
misc	GET	/api/v1/budget/vs-actual/export	export_vs_actual
accounting	GET	/api/v1/cash-flow/bridge-rules	list_bridge_rules
accounting	POST	/api/v1/cash-flow/bridge-rules	create_bridge_rule
accounting	GET	/api/v1/cash-flow/bridge-rules/{id}/versions	list_bridge_rule_versions
accounting	GET	/api/v1/cash-flow/definitions	list_statement_definitions
accounting	POST	/api/v1/cash-flow/definitions	create_statement_definition
accounting	GET	/api/v1/cash-flow/definitions/{id}/versions	list_statement_definition_versions
accounting	GET	/api/v1/cash-flow/line-mappings	list_line_mappings
accounting	POST	/api/v1/cash-flow/line-mappings	create_line_mapping
accounting	GET	/api/v1/cash-flow/line-mappings/{id}/versions	list_line_mapping_versions
accounting	POST	/api/v1/cash-flow/runs	create_run
accounting	GET	/api/v1/cash-flow/runs/{id}	get_run
accounting	GET	/api/v1/cash-flow/runs/{id}/evidence	get_run_evidence
accounting	POST	/api/v1/cash-flow/runs/{id}/execute	execute_run
accounting	GET	/api/v1/cash-flow/runs/{id}/lines	get_run_lines
accounting	GET	/api/v1/cash-flow/runs/{id}/summary	get_run_summary
accounting	GET	/api/v1/close/analytics	get_analytics
accounting	GET	/api/v1/close/history	list_history
accounting	GET	/api/v1/close/templates	list_templates
accounting	POST	/api/v1/close/templates	create_template
accounting	POST	/api/v1/close/trigger	trigger_month_end_close
accounting	GET	/api/v1/close/{period}	get_or_create_checklist
accounting	PATCH	/api/v1/close/{period}/tasks/{task_id}	patch_task_status
accounting	POST	/api/v1/close/{period}/tasks/{task_id}/assign	assign_task
accounting	GET	/api/v1/close/{workflow_id}/status	get_month_end_close_status
accounting	GET	/api/v1/coa/erp-mappings	list_erp_mappings
accounting	POST	/api/v1/coa/erp-mappings/auto-suggest	auto_suggest_erp_mappings
accounting	POST	/api/v1/coa/erp-mappings/bulk-confirm	bulk_confirm_erp_mappings
accounting	GET	/api/v1/coa/erp-mappings/summary	get_erp_mapping_summary
accounting	GET	/api/v1/coa/erp-mappings/unmapped	get_unmapped_erp_accounts
accounting	PATCH	/api/v1/coa/erp-mappings/{mapping_id}/confirm	confirm_erp_mapping
accounting	GET	/api/v1/coa/fs-classifications	get_fs_classifications
accounting	GET	/api/v1/coa/fs-schedules	get_fs_schedules
accounting	GET	/api/v1/coa/templates	list_templates
accounting	GET	/api/v1/coa/templates/{template_id}/accounts	get_template_accounts
accounting	GET	/api/v1/coa/templates/{template_id}/hierarchy	get_template_hierarchy
accounting	GET	/api/v1/coa/tenant/accounts	get_tenant_accounts
accounting	POST	/api/v1/coa/tenant/accounts	add_tenant_custom_account
accounting	GET	/api/v1/coa/tenant/accounts/{account_id}	get_tenant_account_by_id
accounting	PATCH	/api/v1/coa/tenant/accounts/{account_id}	update_tenant_account
accounting	POST	/api/v1/coa/tenant/initialise	initialise_tenant_coa
accounting	POST	/api/v1/coa/trial-balance/classify	classify_trial_balance
accounting	POST	/api/v1/coa/trial-balance/classify-multi-entity	classify_multi_entity_trial_balance
accounting	GET	/api/v1/coa/trial-balance/export	export_classified_trial_balance
misc	POST	/api/v1/compliance/erasure	erasure_endpoint
misc	GET	/api/v1/compliance/erasure-log	erasure_log_endpoint
misc	POST	/api/v1/compliance/gdpr/breach	gdpr_breach_create
misc	GET	/api/v1/compliance/gdpr/breaches	gdpr_breach_list
misc	GET	/api/v1/compliance/gdpr/consent	gdpr_consent_list
misc	POST	/api/v1/compliance/gdpr/consent	gdpr_consent_create
misc	GET	/api/v1/compliance/gdpr/consent/summary	gdpr_consent_summary
misc	POST	/api/v1/compliance/gdpr/export	gdpr_export
misc	POST	/api/v1/compliance/gdpr/retention-check	gdpr_retention_check
misc	GET	/api/v1/compliance/iso27001/controls	iso_controls
misc	PATCH	/api/v1/compliance/iso27001/controls/{control_id}/status	iso_update_control_status
misc	GET	/api/v1/compliance/iso27001/dashboard	iso_dashboard
misc	POST	/api/v1/compliance/iso27001/evaluate	iso_evaluate
misc	GET	/api/v1/compliance/iso27001/evidence	iso_evidence
misc	GET	/api/v1/compliance/soc2/controls	soc2_controls
misc	PATCH	/api/v1/compliance/soc2/controls/{control_id}/status	soc2_update_control_status
misc	GET	/api/v1/compliance/soc2/dashboard	soc2_dashboard
misc	POST	/api/v1/compliance/soc2/evaluate	soc2_evaluate
misc	GET	/api/v1/compliance/soc2/evidence	soc2_evidence
reporting	GET	/api/v1/consolidation/adjustment-definitions	list_adjustment_definitions
reporting	POST	/api/v1/consolidation/adjustment-definitions	create_adjustment_definition
reporting	GET	/api/v1/consolidation/adjustment-definitions/{id}/versions	list_adjustment_definition_versions
reporting	GET	/api/v1/consolidation/export/{run_id}	get_consolidation_export_endpoint
reporting	GET	/api/v1/consolidation/hierarchies	list_hierarchies
